TARGET,PERIODS,ACTIVE,MINACTIVE,MAXACTIVE,DISCOUNT,LINEAR,PREMULTIPLY
feature.Seral.CWHvm_HW_CW_M.young,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_FDC_H.immature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_FDC_H.mature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_FDC_H.overmature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_FDC_H.regenerating,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_FDC_H.young,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_FDC_L.immature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_FDC_L.mature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_FDC_L.overmature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_FDC_L.regenerating,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_FDC_L.young,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_SS_M.immature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_SS_M.mature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_SS_M.overmature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_SS_M.regenerating,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_SS_M.young,31,false,false,false,1.0,false,false
feature.Seral.immature,31,false,false,false,1.0,false,false
feature.Seral.mature,31,false,false,false,1.0,false,false
feature.Seral.overmature,31,false,false,false,1.0,false,false
feature.Seral.regenerating,31,false,false,false,1.0,false,false
feature.Seral.young,31,false,false,false,1.0,false,false
feature.SpeciesProp.managed.CW,31,false,false,false,1.0,false,false
feature.SpeciesProp.managed.FDC,31,false,false,false,1.0,false,false
feature.SpeciesProp.managed.HW,31,false,false,false,1.0,false,false
feature.SpeciesProp.unmanaged.CW,31,false,false,false,1.0,false,false
feature.SpeciesProp.unmanaged.FDC,31,false,false,false,1.0,false,false
