CURVE,X,Y
2162,140,0.2
2162,150,0.1
2162,160,0.2
2162,170,0.2
2162,180,0.1
2162,190,0.1
2162,200,0.2
2162,210,0.1
2162,220,0.1
2162,230,0.2
2162,240,0.1
2162,280,0.1
2162,290,0.2
2162,300,0.1
2162,330,0.1
2162,340,0.2
2162,350,0.1
1688,79,0
1688,80,0.1
1688,90,0.3
1688,100,0.4
1688,120,0.4
1688,130,0.5
1688,140,0.3
1688,180,0.3
1688,190,0.2
1688,200,0.2
1688,220,0.4
1688,230,0.3
1688,250,0.3
1688,260,0.2
1688,270,0.3
1688,290,0.1
1688,300,0.1
1688,310,0.2
1688,320,0.2
1688,330,0.1
1486,79,0
1486,80,0.1
1486,110,0.1
1486,120,0
1486,130,0.1
1486,150,0.1
1486,160,0
1730,79,0
1730,80,0.1
1730,100,0.1
1730,110,0
1730,140,0
1730,150,0.1
1730,190,0.1
1730,200,0
1730,230,0
1730,240,0.1
1730,250,0
1730,280,0
1730,290,0.1
1730,300,0
1730,310,0
1730,320,0.1
1730,330,0.1
1730,340,0
1730,350,0.1
1702,79,0
1702,80,0.1
1702,100,0.1
1702,110,0
1702,120,0.1
1702,140,0.1
1702,150,0
1487,79,0
1487,80,0.1
1487,100,0.1
1487,110,0
1487,120,0.1
1487,130,0.1
1487,140,0
1487,150,0.1
1487,170,0.1
1487,180,0
1217,79,0
1217,80,0.1
1217,100,0.1
1217,110,0
1217,120,0.1
1217,130,0
2578,79,0
2578,80,0.1
2578,200,0.1
2578,210,0
2578,220,0.1
2578,230,0
2578,240,0.1
1729,79,0
1729,80,0.1
1729,130,0.1
1729,140,0
1729,170,0
1729,180,0.1
1729,200,0.1
1729,210,0
1729,220,0.1
1729,230,0
1729,240,0.1
1729,250,0
1729,260,0
1729,270,0.2
1729,290,0
1729,300,0
1729,310,0.2
1729,320,0.2
1729,330,0.1
1729,340,0.1
1729,350,0.2
1483,79,0
1483,80,0.1
1483,120,0.1
1483,130,0
1483,140,0.1
1483,150,0.1
1483,160,0
1687,79,0
1687,80,0.1
1687,110,0.4
1687,150,0.4
1687,160,0.3
1687,200,0.3
1687,210,0.2
1202,79,0
1202,80,0.1
1202,110,0.4
1202,140,0.4
1202,150,0.3
1202,190,0.3
1202,200,0.2
1587,79,0
1587,80,0.1
1587,90,0.1
1587,100,0
1587,110,0.1
1587,120,0
1587,130,0.1
1587,140,0.1
1587,150,0
1246,79,0
1246,80,0.1
1246,90,0.1
1246,100,0
1246,140,0
1246,150,0.1
1246,180,0.1
1246,190,0
1246,200,0
1246,210,0.1
1246,230,0.1
1246,240,0
1246,270,0
1246,280,0.1
1246,320,0.1
1246,330,0
1460,79,0
1460,80,0.1
1460,90,0.1
1460,120,0.4
1460,140,0.8
1460,150,0.9
1460,160,0.9
1460,180,1.1
1460,190,1.1
1460,200,1.2
1460,210,1.2
1460,220,1.3
1460,250,1.3
1460,260,1.4
1460,310,1.4
1460,320,1.5
1456,79,0
1456,80,0.1
1456,90,0.1
1456,120,0.4
1456,130,0.6
1456,160,0.9
1456,170,0.9
1456,180,1
1456,190,1
1456,200,1.1
1456,220,1.1
1456,230,1.2
1456,260,1.2
1456,270,1.3
1682,79,0
1682,80,0.1
1682,90,0.1
1682,100,0.2
1682,110,0.2
1682,120,0.3
1682,140,0.3
1682,150,0.2
1682,210,0.2
1682,220,0.1
1563,79,0
1563,80,0.1
1563,90,0.1
1563,100,0.2
1563,110,0.2
1563,130,0.6
1563,160,0.9
1563,170,0.9
1563,180,1
1563,190,1
1563,200,1.1
1563,220,1.1
1563,230,1.2
1563,260,1.2
1563,270,1.3
1566,79,0
1566,80,0.1
1566,90,0.1
1566,100,0.2
1566,110,0.2
1566,120,0.4
1566,160,0.8
1566,170,0.8
1566,180,0.9
1566,190,0.9
1566,200,1
1566,220,1
1566,230,1.1
1566,280,1.1
1566,290,1.2
1459,79,0
1459,80,0.1
1459,90,0.1
1459,100,0.2
1459,110,0.2
1459,120,0.4
1459,170,0.9
1459,180,0.9
1459,190,1
1459,210,1
1459,220,1.1
1459,240,1.1
1459,250,1.2
1459,310,1.2
1459,320,1.3
1197,79,0
1197,80,0.1
1197,90,0.1
1197,100,0.2
1197,110,0.2
1197,120,0.3
1197,140,0.3
1197,150,0.2
1197,210,0.2
1197,220,0.1
1528,79,0
1528,80,0.1
1528,90,0
1528,100,0.1
1528,110,0
1528,120,0.2
1528,140,0
1528,150,0.1
1528,160,0.1
1528,170,0
1528,180,0.1
1528,190,0
1528,200,0
1528,220,0.2
1528,230,0.1
1528,240,0.1
1528,250,0
1528,260,0
1528,270,0.1
1528,280,0
1528,290,0.1
1528,310,0.1
1528,320,0.2
1528,330,0.2
1528,340,0.1
1244,79,0
1244,80,0.1
1244,90,0
1244,100,0
1244,110,0.1
1244,120,0
1244,140,0
1244,150,0.1
1244,160,0
1244,210,0
1244,220,0.1
1244,230,0.1
1244,240,0
1244,280,0
1244,290,0.1
1733,79,0
1733,80,0.1
1733,90,0
1733,150,0
1733,160,0.1
1733,170,0.1
1733,180,0
1733,190,0.1
1733,200,0
1733,210,0.1
1733,220,0.1
1733,230,0
1733,240,0
1733,250,0.1
1733,270,0.1
1733,280,0
1531,79,0
1531,80,0.1
1531,90,0
1531,120,0
1531,130,0.1
1531,140,0
1531,180,0
1531,190,0.1
1531,210,0.1
1531,220,0
1531,240,0
1531,250,0.1
1531,310,0.1
1531,320,0
1531,330,0.1
1249,79,0
1249,80,0.1
1249,90,0
1249,120,0
1249,130,0.1
1249,140,0
1249,150,0.1
1249,160,0.1
1249,170,0
1249,180,0.1
1249,190,0
1249,200,0.1
1249,210,0.1
1249,220,0
1249,230,0.1
1249,250,0.1
1249,260,0
1249,310,0
1249,320,0.1
1249,330,0
1628,79,0
1628,80,0.1
1628,90,0
1628,110,0
1628,120,0.1
1628,130,0.1
1628,140,0
1628,180,0
1628,190,0.1
1628,210,0.1
1628,220,0
1628,240,0
1628,250,0.1
1628,310,0.1
1628,320,0
1628,330,0.1
1195,79,0
1195,80,0.1
1195,90,0
1195,110,0
1195,120,0.1
1195,130,0.4
1195,140,0.3
1195,150,0.5
1195,170,0.7
1195,180,0.7
1195,190,0.6
1195,210,0.8
1195,220,0.8
1195,230,0.9
1195,240,0.9
1195,250,0.8
1195,260,0.9
1195,280,0.9
1195,290,1
1195,320,1
1195,330,0.9
