Name,Title,Class,Source,Extensions
objective,Active target objective summary,ca.spatial.patchworks.ShortageReport,Target table,html;csv
shortage,Active target shortage summary,ca.spatial.patchworks.ShortageReport,Target table,html;csv
feature_QMD_managed_CWHvm_HW_FDC_L,Targets for feature.QMD.managed.CWHvm_HW_FDC_L,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_QMD_managed_CWHvm_HW_SS_M,Targets for feature.QMD.managed.CWHvm_HW_SS_M,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_QMD_unmanaged_CWHvm_CW_HW_M,Targets for feature.QMD.unmanaged.CWHvm_CW_HW_M,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_QMD_unmanaged_CWHvm_CW_PLC_M,Targets for feature.QMD.unmanaged.CWHvm_CW_PLC_M,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_QMD_unmanaged_CWHvm_CW_YC_M,Targets for feature.QMD.unmanaged.CWHvm_CW_YC_M,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_QMD_unmanaged_CWHvm_DR_HW_M,Targets for feature.QMD.unmanaged.CWHvm_DR_HW_M,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_QMD_unmanaged_CWHvm_FDC_HW_H,Targets for feature.QMD.unmanaged.CWHvm_FDC_HW_H,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_QMD_unmanaged_CWHvm_FDC_HW_L,Targets for feature.QMD.unmanaged.CWHvm_FDC_HW_L,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_QMD_unmanaged_CWHvm_FDC_HW_M,Targets for feature.QMD.unmanaged.CWHvm_FDC_HW_M,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_QMD_unmanaged_CWHvm_HW_BA_M,Targets for feature.QMD.unmanaged.CWHvm_HW_BA_M,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_QMD_unmanaged_CWHvm_HW_CW_H,Targets for feature.QMD.unmanaged.CWHvm_HW_CW_H,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_QMD_unmanaged_CWHvm_HW_CW_L,Targets for feature.QMD.unmanaged.CWHvm_HW_CW_L,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_QMD_unmanaged_CWHvm_HW_CW_M,Targets for feature.QMD.unmanaged.CWHvm_HW_CW_M,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_QMD_unmanaged_CWHvm_HW_FDC_H,Targets for feature.QMD.unmanaged.CWHvm_HW_FDC_H,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_QMD_unmanaged_CWHvm_HW_FDC_L,Targets for feature.QMD.unmanaged.CWHvm_HW_FDC_L,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_QMD_unmanaged_CWHvm_HW_SS_M,Targets for feature.QMD.unmanaged.CWHvm_HW_SS_M,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_Seral_CWHvm_CW_HW_M_immature,Targets for feature.Seral.CWHvm_CW_HW_M.immature,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_Seral_CWHvm_CW_HW_M_mature,Targets for feature.Seral.CWHvm_CW_HW_M.mature,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_Seral_CWHvm_CW_HW_M_overmature,Targets for feature.Seral.CWHvm_CW_HW_M.overmature,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_Seral_CWHvm_CW_HW_M_regenerating,Targets for feature.Seral.CWHvm_CW_HW_M.regenerating,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_Seral_CWHvm_CW_HW_M_young,Targets for feature.Seral.CWHvm_CW_HW_M.young,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_Seral_CWHvm_CW_PLC_M_immature,Targets for feature.Seral.CWHvm_CW_PLC_M.immature,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_Seral_CWHvm_CW_PLC_M_mature,Targets for feature.Seral.CWHvm_CW_PLC_M.mature,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_Seral_CWHvm_CW_PLC_M_overmature,Targets for feature.Seral.CWHvm_CW_PLC_M.overmature,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_Seral_CWHvm_CW_PLC_M_regenerating,Targets for feature.Seral.CWHvm_CW_PLC_M.regenerating,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
