CURVE,X,Y
1229,130,0.3
1229,140,0.3
1229,150,0.2
1229,270,0.2
1229,280,0.1
1711,79,0
1711,80,0.5
1711,110,0.5
1711,120,0.4
1711,160,0.4
1711,170,0.3
1711,260,0.3
1711,270,0.2
1664,79,0
1664,80,0.5
1664,90,0.8
1664,110,1.6
1664,120,2.1
1664,130,3.3
1664,150,5.3
1664,160,6.1
1664,170,6.8
1664,210,8.4
1664,230,9
1664,240,9.2
1664,250,9.5
1664,280,10.1
1664,290,10.2
1664,300,10.4
1664,340,10.8
2208,79,0
2208,80,0.4
2208,90,0.4
2208,100,0.5
2208,110,0.4
2208,120,0.5
2208,130,0.5
2208,140,0.4
2208,150,0.4
2208,160,0.5
2208,170,0.5
2208,180,0.4
2208,190,0.5
2208,200,0.5
2208,210,0.4
2208,220,0.5
2208,230,0.3
2208,250,0.5
2208,260,0.5
2208,270,0.4
2208,280,0.4
2208,290,0.6
2208,300,0.4
2208,310,0.4
2208,320,0.5
2208,330,0.4
2208,340,0.5
1678,79,0
1678,80,0.4
1678,90,0.5
1678,130,0.5
1678,140,0.4
1678,180,0.4
1678,190,0.3
1678,280,0.3
1678,290,0.2
2543,79,0
2543,80,0.4
2543,100,0.4
2543,110,0.3
2543,120,0.3
2543,130,0.2
2543,240,0.2
2543,250,0.1
1549,79,0
1549,80,0.4
1549,100,0.8
1549,110,1.1
1549,130,2.5
1549,150,3.5
1549,170,4.1
1549,220,5.1
1549,280,5.7
1549,290,5.7
1549,300,5.8
1549,310,5.8
1549,320,5.9
1549,330,5.9
1549,340,6
1442,79,0
1442,80,0.4
1442,100,0.8
1442,110,1.1
1442,130,2.5
1442,140,3.1
1442,150,3.6
1442,170,4.2
1442,220,5.2
1442,240,5.4
1442,250,5.6
1442,260,5.7
1442,270,5.7
1442,290,5.9
1442,300,5.9
1442,310,6
1442,320,6
1442,330,6.1
1195,79,0
1195,80,0.4
1195,90,0.5
1195,100,0.5
1195,110,0.4
1195,120,0.5
1195,130,0.5
1195,140,0.4
1195,180,0.4
1195,190,0.3
1195,280,0.3
1195,290,0.2
1668,79,0
1668,80,0.2
1668,90,0
1668,100,0.1
1668,110,0.1
1668,120,0.2
1668,130,0.2
1668,140,0.4
1668,170,0.7
1668,210,0.7
1668,220,0.8
1668,250,0.8
1668,260,1
1668,270,1
1668,280,0.8
1668,290,1
1668,300,0.9
1668,310,0.9
1668,320,1
1668,330,1
1668,350,1.2
2575,79,0
2575,80,0.2
2575,90,0.2
2575,100,0.1
2575,110,0.3
2575,120,0.2
2575,130,0.3
2575,140,0.2
2575,150,0.2
2575,160,0.1
2575,170,0.1
2575,180,0.2
2575,190,0.1
2575,200,0.2
2575,210,0.2
2575,220,0.1
2575,240,0.1
2575,250,0.2
2575,260,0.1
2575,270,0.2
2575,300,0.2
2575,310,0.1
2575,320,0.1
2575,330,0.2
2575,340,0.1
1606,79,0
1606,80,0.2
1606,90,0.2
1606,100,0.1
1606,210,0.1
1606,220,0
1606,230,0.1
2576,79,0
2576,80,0.2
2576,90,0.2
2576,100,0.4
2576,110,0.2
2576,120,0.3
2576,130,0.2
2576,140,0.3
2576,150,0.2
2576,160,0.4
2576,170,0.3
2576,180,0.3
2576,190,0.2
2576,200,0.4
2576,210,0.3
2576,230,0.3
2576,240,0.2
2576,250,0.3
2576,260,0.2
2576,310,0.2
2576,320,0.3
2576,340,0.3
2576,350,0.2
2209,79,0
2209,80,0.2
2209,90,0.2
2209,100,0.3
2209,110,0.3
2209,120,0.1
2209,130,0.3
2209,140,0.2
2209,150,0.3
2209,160,0.2
2209,200,0.2
2209,210,0.3
2209,220,0.2
2209,320,0.2
2209,330,0.4
2209,350,0.2
1576,79,0
1576,80,0.2
1576,90,0.2
1576,100,0.3
1576,140,0.3
1576,150,0.2
1576,160,0.3
1576,170,0.2
1576,180,0.3
1576,210,0.3
1576,220,0.2
1576,230,0.3
1576,240,0.2
1576,250,0.2
1576,260,0.4
1576,270,0.3
1576,310,0.3
1576,320,0.2
1576,330,0
1576,340,0.3
2207,79,0
2207,80,0.2
2207,90,0.4
2207,100,0.2
2207,110,0.3
2207,120,0.3
2207,130,0.2
2207,140,0.3
2207,150,0.3
2207,160,0.2
2207,170,0.3
2207,180,0.2
2207,190,0.3
2207,200,0.3
2207,210,0.2
2207,220,0.3
2207,230,0.3
2207,240,0.2
2207,260,0.2
2207,270,0.3
2207,280,0.2
2207,290,0.3
2207,310,0.3
2207,320,0.2
2207,330,0.2
2207,340,0.3
1561,79,0
1561,80,0.2
1561,90,0.4
1561,110,0.6
1561,120,0.5
1561,140,0.5
1561,150,0.4
1561,180,0.4
1561,190,0.3
1561,250,0.3
1561,260,0.2
1457,79,0
1457,80,0.2
